"Basin","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges","0.12040738679396","0.0719778184843123","0.0423549634438395","0.0557162747412256","0.120607561035906","2.8253751127126","1.08976514477769","1.09098637727475","1.30201055235636","0.337916977975739","0.171756098278848","0.166637141537096","0.123647657304439","0.071349138314652","0.0432186287162185","0.0628799186240415","0.151689515876973","2.23955493239402","0.459321886512392","0.219719567328926","0.216172882861795","0.208213100545098","0.0591826450758779","0.0549156482072124","0.0743208743746203","0.0583166291665943","0.0320128633916509","0.0428104930450168","0.117640098420951","2.34804789627538","0.73180327549269","0.340087335647398","0.35613759570417","0.253157047563562","0.080118086079065","0.0736699082086519","0.0828321840613935","0.0502781456768486","0.034659568603109","0.0607698031510695","0.212393133609447","1.95512580915207","0.49982139893935","0.310835699968162","0.15793727343136","0.116220930879923","0.0410088710046168","0.0216601303426356","0.0215752854028493","0.0157877439592812","0.00838748900312342","0.0167341168868515","0.13335648023576","1.65943323495376","0.261063296746043","0.337277419380485","1.0050647964705","0.444786070006959","0.175159812860299","0.121680276213144","0.119813404210199","0.069254506893536","0.0383057861530366","0.0586877538396223","0.142938888044202","2.96470710146597","0.655868851460697","0.234386855812142","0.382928434551918","0.252784865815925","0.0730240660337772","0.0920350327617172"
"Mekong","0.000235870173770431","3.50847366683581e-05","5.52793519283905e-06","9.09012723205548e-07","3.50815652137909e-06","8.49538298120432e-05","0.000235112475979098","0.000443420737977227","0.000383200373821558","0.000703717428569091","0.00048682362105848","0.000172124312370251","7.82498718180134e-05","1.95744092903455e-05","5.74079683693793e-06","3.46166228084658e-06","1.65485922450123e-05","0.000641720019717363","0.000389379831970646","0.000377983735474792","0.000338689213291017","0.000582255115761077","0.000445442275953199","0.000189591621833612","8.84309439281305e-05","2.05651782370005e-05","4.99661680677111e-06","2.8098063168657e-06","2.72849712667565e-05","0.000610797658396211","0.000407229925077496","0.000372763373648719","0.000354399016507215","0.000551246440435871","0.000298269515196554","6.80263791363694e-05","3.08173882807714e-05","9.59171529156612e-06","2.48071058378497e-06","1.31194833006685e-06","6.72580881311229e-06","5.46003394178721e-05","0.000163316158093434","0.000307921913035698","0.000277866804590181","0.000330195882028431","0.000350510171491157","0.000152579781013702","1.81375111031118e-05","3.33456887717056e-06","1.88516406249939e-06","2.77499622392095e-06","3.1671421283479e-06","0.000325812636129827","0.000440439771991914","0.000505432100865427","0.000443727066095338","0.000662518995358557","0.000917193157223445","0.000641923348452221","0.000252490838794932","3.72640274852569e-05","4.4471945461679e-06","1.857304352428e-06","1.17995215991337e-05","6.84758282845319e-05","0.000201371701312075","0.000494653224272106","0.000349052427698818","0.000490097094478375","0.000384938705603802","0.000143602360434218"
"Irawaddy","1.79993756183298e-07","1.67452433286595e-07","8.88999358470232e-08","1.77592453219513e-08","3.82875120833777e-06","1.97042187863194e-07","8.25094251410951e-05","9.54504214245454e-05","9.78007288777303e-05","2.5364676161694e-05","1.34799970248269e-06","2.43497875515557e-07","1.93850537988694e-07","2.22053152851362e-07","1.20517843930152e-07","1.19860986956326e-07","1.44291618307431e-06","3.57612786339586e-06","7.4565529730097e-05","0.000103756917351983","0.000128471793979812","2.87042207125772e-05","7.92086457171202e-06","6.42940887263314e-07","1.7311206157271e-07","2.11748363783117e-07","1.36400794873419e-07","1.22015221355125e-07","4.77918989014925e-06","5.85622641201825e-07","6.33313922650817e-05","0.000111006449076933","0.000131346227106173","3.08556382541658e-05","5.41088623003349e-06","5.15789108391475e-07","1.56419841956734e-07","1.14288134527705e-07","1.01024662659365e-07","4.55681907839129e-08","4.84967481632439e-08","1.83475828345475e-06","9.11845984958604e-05","0.000104354550145931","9.03682352151614e-05","2.69253654314053e-05","4.60227047821666e-06","3.96973623404023e-07","1.3159088537522e-07","1.43584580240573e-07","7.74143254704268e-08","1.06714657805414e-07","1.95094685863997e-06","2.09792253112589e-06","8.94360255381401e-05","9.65928945138009e-05","0.000105830791127827","3.22584846149547e-05","2.16094898956184e-06","2.7063603214188e-07","1.728253450984e-07","1.24225294764406e-07","4.94186355445762e-08","6.10894270101167e-08","2.20078131897237e-06","3.0215660978636e-07","8.20614587990418e-05","0.000101077741019963","9.37183311336953e-05","2.18088282171314e-05","8.04571563525951e-06","6.43086863824916e-07"
"Luni_ext","0.0166223937098647","0.0185059075217215","0.0233593178890864","0.0245562353251016","0.0131109709761308","0.00848111776530203","0.0721034637594789","0.127582692958844","0.206000118339882","0.102001092488597","0.0672323440005141","0.0216425524489036","0.0272793691424513","0.0245671144617436","0.0192965575964973","0.0231100002009028","0.0106874408415312","0.0106349319433336","0.0517958111996826","0.122120596087089","0.157829978088673","0.0938268980744012","0.0574064233530427","0.0123635613363525","0.0369468431857196","0.0302260402336136","0.0324232812732015","0.0216302135773808","0.0091668057259311","0.00740789014476892","0.0358133870887755","0.0703457564347359","0.10728780064891","0.0314213323774161","0.0365141055967591","0.0139178774980462","0.0202250023134262","0.0265191625896346","0.0346701858838459","0.0339652862605062","0.021521432784351","0.0315870823070274","0.0397489242702601","0.13414692188631","0.155514569644761","0.0491818215893941","0.0395807799641655","0.00338515684632883","0.0131741323960529","0.0191477390368293","0.0150061200755968","0.0122627760515913","0.00872695524517708","0.0164615842538371","0.0444751371926703","0.0678538494643395","0.0902487542490323","0.0803700807209812","0.0379538581463749","0.0156451011474633","0.0154266096454555","0.0239105317812256","0.0188642567973508","0.0238788445261786","0.014741210209845","0.0123089220329849","0.0489018268209179","0.152175322440363","0.190387377870196","0.13378474321934","0.0584385270390118","0.0207508755252118"
"Indus","0.612776678887069","0.417219347632074","0.360241181677791","0.258789406165642","0.119073092767993","1.90597225592527","2.91783437357037","5.74440880366202","6.16395131996188","2.21550173983816","1.3165298893703","0.340563665658268","0.773823162562372","0.421702806590933","0.251403553737416","0.239751675247464","0.0811049149969431","1.35512259928579","2.53987581747349","5.95811314181696","6.39400016536686","2.38184392272685","1.49763399214699","0.250502178652925","0.747820536842122","0.861157144675653","0.463510380316814","0.25537103896696","0.0932342578844091","0.97126726953545","1.88409370096635","3.74837750574031","4.81276653249839","2.0085900250274","1.25118203851238","0.258515954805082","0.714873895720199","0.619807047859299","0.673456093326771","0.51051683947836","0.319487259734337","1.89438294564254","2.47804452741809","5.86930204937119","5.84402615188103","1.83224240285422","0.958172274584444","0.064995126464719","0.367186203690078","0.362572850718988","0.268950213413543","0.211092750860626","0.157295787308227","0.767850251752943","2.05599407010529","2.79251621933122","3.19213966008875","1.43251327410815","0.931517195798376","0.324928855575877","0.612827860286426","0.486080668680318","0.317259508901947","0.288594459592743","0.133328124150795","1.39053912986772","2.93967494122346","8.54160653693754","9.33907591442169","3.07750645258406","1.36042874744374","0.309207268567966"
"Amu_Darya","0.00188214512428585","0.000329845418816075","0.000792302172237662","0.003749927573044","0.0291077557805858","0.0719697158794422","0.554597563212489","1.03379212935724","0.798116783343312","0.276869748908842","0.0234302389571385","0.000221667698648424","0.00689326328325076","0.00625593656576994","0.00298014010569795","0.00335259037067409","0.0207108497286948","0.0688727833502135","0.436647809488441","0.89280851150214","0.619199854315031","0.209083602684253","0.0174723261918742","0.00105229484003446","0.00498816124145207","0.00470711780619132","0.00120636515874951","0.00332795847200803","0.0294143037146406","0.0828749777126164","0.503588395108835","0.998396139472252","0.780381488122226","0.26241787629283","0.0535874871886876","0.00202621354400076","0.00568836949223631","0.00963092644592209","0.00150792332926774","0.0116919985852412","0.0753803695272792","0.138616676069886","0.958973392941721","1.72491293738935","1.04687888954547","0.290573708752357","0.0322807858329419","0.00175845378104497","0.00718582024247302","0.0045434722695618","0.00197082643889609","0.00591512724284486","0.0394894548723544","0.0795542429239119","0.372498532469503","0.792398853872047","0.482588849161164","0.177323810746291","0.0032799370794384","7.03885635885291e-05","0.00226485360647982","0.00188708633057049","0.000693917630799198","0.00192603443292383","0.023611731015884","0.0620890638657204","0.33963614388983","0.71755419135043","0.432980426379148","0.172357018981481","0.0093260338553676","0.000236599575497678"
"Brahmaputra","0.00238966519514273","0.00306876655326542","0.00475190157035669","0.00190753127319533","0.0043636983777476","0.0796995250543789","0.0941561097059442","0.105589557197928","0.0374977751260296","0.00767162881643535","0.0022460677172716","0.00507843102380143","0.00387137589769783","0.00375918273276505","0.00474032446354803","0.00281638427351027","0.00868229745504509","0.0720868728928061","0.0693027871381514","0.0510023409810424","0.0289181536304395","0.0152636862138318","0.00231967637432966","0.00392798665248699","0.00293974379061325","0.0032060391670623","0.004817962469597","0.00294733834145081","0.00405908496084773","0.0278956775123097","0.0474119516072338","0.0450530417549012","0.0187828391934203","0.00684153608115389","0.00115585267605553","0.000874760252031047","0.000530694385521391","0.000900255015578928","0.00315525411365028","0.00308782537034648","0.00299564572126972","0.0362667039002718","0.0462228218011085","0.0309648421940365","0.028676601861399","0.00829516777077422","0.0010512203018968","0.00140488349990061","0.000783551969458352","0.00103204907263563","0.00228463697386546","0.00177383533110377","0.0113487073087435","0.0400345110282567","0.0390780511605792","0.0462823354811983","0.0372298507625453","0.00896704486165689","0.0013708169346036","0.00276742377389119","0.00232347518920744","0.0024666067397412","0.00229680794772427","0.00121084392365098","0.00237212126676452","0.0818733193282963","0.0638097863179788","0.0486938746237025","0.0332899168425766","0.0149088345190355","0.00274878989754834","0.00515319048141558"
"Syr_Darya","0.000115688785911061","0.000310653159592222","0.000121295226762186","0.000169296106790284","0.00316287345126089","0.0115364746879607","0.157371025696954","0.264054329802204","0.211294023221107","0.0727087775527389","5.93146228311525e-06","3.10009966142388e-07","0.00251315722145555","0.000496259302648638","0.00117410759983816","0.00113462335670593","0.00808660014291884","0.0155128908781238","0.125224683532675","0.263247278106986","0.175347485910227","0.0615809937756794","0.00169410661737857","0.000355154908127542","0.00123752706077456","0.000483656187004893","9.68602335865432e-05","0.000870672598049235","0.00625199805774493","0.0194165401007413","0.138350975033364","0.263686049964519","0.216281701330551","0.0825231549899487","0.0118206080507886","0.000662861891065347","0.00365006329723154","0.00283049922302858","0.000273914260773903","8.35680802993011e-05","0.013608763081771","0.0247360362306741","0.182547094150372","0.359553914625162","0.24350947985421","0.072329728025337","0.000202232920855749","0","0.000871098391642861","0.000820231141411276","0.000767172164215513","0.00043960275283373","0.00562609553621154","0.0125594856522139","0.084472898903241","0.221695902517837","0.150057517058189","0.043315176464474","0.000124924400779491","0","0.000178727621857888","0.000289081872367092","0.000116467469759129","1.88547644199843e-05","0.0027509458763727","0.0122601338008475","0.0815778613313646","0.193930068846722","0.119243901715027","0.0359037526052724","0.00014092648177666","0.000133975010015774"
"Salween","1.13789117073208e-05","1.20480087727458e-05","8.17170793195949e-06","1.15240847008402e-06","8.17400716996805e-06","0.000758150238319236","0.00247549802913538","0.00411964287000936","0.00230856892347427","0.000450882558499885","2.9008186148211e-05","9.31219526669975e-06","8.237882313601e-06","8.78931761955711e-06","9.39589529425222e-06","5.82652913738524e-06","9.24850630674419e-06","0.000851031531538751","0.00192677265950788","0.00388823226947295","0.00238658577848797","0.000574892971250538","6.30996299365998e-05","1.37214960492844e-05","8.36087628739427e-06","7.69917333995116e-06","6.7901281986744e-06","2.30776601478704e-06","1.74445445417067e-05","0.000812194302426811","0.00207555932546026","0.00397616568443047","0.00248890946574177","0.000398871567881219","8.62591221471846e-05","1.93250503303635e-05","6.78274877870339e-06","4.49702702061122e-06","5.69397694741313e-06","4.65612698932662e-07","7.29910564859354e-06","0.000893385625692633","0.0023660717991756","0.00334580124110195","0.00226150564959564","0.000791846099427742","4.67480707121269e-05","1.03586632981126e-05","8.67037514911489e-06","6.77396173935333e-06","6.67946811684772e-06","4.26865901872725e-06","1.1390168487002e-05","0.00150575968045072","0.00279996204109659","0.00396580413280882","0.00325219756698171","0.000977431197518285","4.00257956834032e-05","1.33690989180003e-05","1.10741220722095e-05","8.35929717857365e-06","3.55562578990308e-06","1.03419769302088e-06","6.71777924951235e-06","0.00119041782967921","0.00296069313575603","0.00555987963227469","0.00216904361523396","0.000619277436289775","7.23572960615279e-05","1.68765747215009e-05"
"Tarim","0.000947122244314652","0.00148865600707996","0.00122136553713511","0.000316475384224912","0.0222121472780426","0.305996163045887","1.36017672996442","1.34637639430589","0.331614649495992","0.0263269927614934","0.00167688050468504","0.0031630606247891","0.00225495264198641","0.00273631909413584","0.002896980360201","0.000797071907629783","0.0794093920630947","0.360828063494839","1.40511042149802","1.91668562132908","0.533744592530602","0.0297530621823703","0.00649728307474185","0.00622055212323265","0.00533372182013628","0.00297700079658547","0.00498214349673365","0.000396905192866642","0.0526011748340699","0.245807025787159","0.910084621527676","0.869781251923018","0.274260850739187","0.0218028157787185","0.00168278236998272","0.00305580153877012","0.00110325559412614","0.00187029473725077","0.00181994119233831","0.00130286665032667","0.0918900313335742","0.351158876608586","2.18788510423745","1.98341113673111","0.445818428797915","0.0311267703504761","0.00505064050939205","0.00648231425936971","0.00212341900514006","0.0066375059684991","0.00657963031988032","0.000567244238895981","0.0629442974285749","0.338199348744873","0.847677600921448","0.72626570945778","0.169022792670934","0.00511099324675642","0.000543027591037365","0.00233200242709789","0.00124029526493463","0.0012463544774654","0.00036787466557596","8.77392776486204e-05","0.0537071569051333","0.276180204467205","1.18749728965088","0.922062421011436","0.224633271681349","0.01442696527259","0.00147679961347462","0.00276766995939012"
"Ili","0.000531658961482297","0.00059245127944374","0.0006843366670015","3.94516763799757e-05","0.00331561530891552","0.250850246876509","1.70382988111744","1.55407556955931","0.330011148756565","0.0297516959547608","0.00338172318189202","0.0041837595780338","0.00590291421426296","0.00513794780181931","0.00458204609202984","0.000873365940211618","0.0271828630777344","1.01539723275013","2.27242003458903","2.34560124893798","0.457413510719872","0.0281086961404407","0.00153872671096844","0.00395406758898531","0.00674328218745883","0.00692283691571305","0.00151729463431356","0.000345836991311299","0.0102379703455925","0.483478967930167","2.28970367980797","1.51844048690342","0.3084854968195","0.0275185271434499","0.00176407713217268","0.00326176211637678","0.00442136264576296","0.00384011836072012","0.00325544826677864","5.87156523181864e-05","0.025248597113472","0.367180601832781","2.31699283684085","1.66092896884133","0.301716583180633","0.0213702140666662","0.000821855037195916","0.00094601642453529","0.00367256453780119","0.00425386192445387","0.000628855495052752","6.86741193796081e-05","0.00565545873955663","0.25100687837259","1.17515514681087","1.17412786140627","0.251510513098786","0.0111484895535367","0.000370849670758844","0.00019556024515166","0.000403447083760098","0.000479937352053206","0.00059024518242737","6.19056633398563e-05","0.0236446705588177","0.458881364438725","1.4502577324262","1.12803448201944","0.20529183841204","0.0126103017562664","0.0008982229358169","0.00296190876750772"
"Inner_Tibetan_Plateau","0","0","0","0","1.17111413029392e-05","9.11206728915204e-05","0.00146707385283662","0.00102914968556433","0.000334633727106848","1.71242552990947e-05","0","0","0","0","0","0","1.73240332559388e-05","2.60233492497264e-05","0.00204062788543524","0.0026691351122281","0.0011272585070401","3.47530430744314e-05","0","0","0","0","0","0","5.04011644935076e-05","5.25066918726225e-05","0.000463366963231238","0.000786481828981778","0.000412559868891549","9.32112332208135e-06","0","2.04911748369341e-06","0","0","0","0","3.597559251034e-05","4.53759547554e-05","0.00111120741439663","0.00200981217858498","0.000679345208482118","3.4670363035616e-05","0","0","0","0","0","0","9.50288356307283e-05","0.000115239029128134","0.00092388533448684","0.000838680512060819","0.00021967069733364","3.08105293527206e-05","0","0","0","0","0","0","6.83579485594166e-06","1.76613619800037e-05","0.00109293674086075","0.000668968319587293","0.000147868441445098","7.33353829218686e-06","2.33837249652424e-06","0"
"Yangtze","0.0445097878595065","0.019156289560127","0.00586796209333583","3.22179172047578e-05","0.00197133566974923","0.0173229341561699","0.0692619805145413","0.069961691225005","0.0781405676814516","0.04396016228314","0.0904479586423438","0.0486557284399925","0.0356339771995931","0.020797629144625","0.00796394529091546","3.77180794914193e-05","0.00150333550460959","0.0040490767707587","0.0103427172500015","0.0116074201451793","0.0354527163392215","0.0164839363198199","0.0160520832421805","0.00977052698620548","0.00510279551052772","0.00263273533011165","0.00124516359410602","1.25256025583692e-05","0.00235645417281944","0.0220756197106543","0.0471456159097746","0.0307329411054285","0.0457477120336304","0.0237420295799031","0.0400016035198765","0.0206997480499128","0.0160873587514146","0.00784427454991606","0.00227012281862918","9.02026919123015e-05","0.00161387753690011","0.00555423507365788","0.0227483081329967","0.0199798952229252","0.0307163248439034","0.0125256527886824","0.0276890484817555","0.0156781510607362","0.00995784720265123","0.00560971422133893","0.00224066681509496","2.04226564540106e-05","0.00279355024040782","0.00749087095916127","0.0259812609039412","0.0258961523299419","0.0544613990676328","0.0254331079399091","0.0975464066266799","0.0673515274470441","0.0466042969863135","0.0227264791689457","0.00722706265940579","2.57143206863173e-06","0.00126998364588296","0.00393653656772542","0.0225659816187292","0.0502312987879466","0.0737523283500455","0.0301343516070837","0.0967107108951206","0.0620024809091936"
"Inner_Tibetan_Plateau_extended","0.000549995995466179","0.000365962324281721","0.000410801473136634","0.000139058322398394","0.00121892870446432","0.0728216285677981","0.127627338318232","0.143278317711736","0.0229620058261892","0.00398750080574534","0.000247531017678541","0.000591860924002559","0.000512520713172046","0.000644056662143716","0.000285639467566104","9.63983447522382e-05","0.000808276274683586","0.0554896394612955","0.27541183653947","0.341575173961324","0.0770578051956036","0.0126824569251579","0.000397792754231574","0.00211708187638315","0.000589679411728827","0.000518073577598081","0.000927614013189526","0.000119272927064443","0.001884703812378","0.0636198491147405","0.18344771393977","0.155875128021277","0.0354989944988508","0.00527018013931196","0.000290850038445785","0.00137083587760149","0.000994356232992019","0.000414601229337827","0.000363335992590316","7.76645342028713e-05","0.00204381921622003","0.0286181556499704","0.253478119416606","0.272635966084507","0.0498320988554183","0.00835524726338605","0.000628061026946014","0.000317269337050477","0.00156352873012144","0.000573286350200319","0.000603591393934812","0.000167122870442835","0.00116797614112633","0.0372589144391232","0.166776793186341","0.202334060738687","0.0323644437461448","0.00526766234402884","0.000451687852751393","0.000668823874832843","0.000363455337583252","0.000410135302570876","0.000146038543090501","8.52958014104094e-05","0.00118598911695822","0.0628956988237651","0.293604217587005","0.221645596367266","0.0527205921231581","0.00431169660221377","5.99757323189731e-05","0.000760545681131042"
"Yellow","0.000645276009915231","0.00040632999808116","0.000609192259221122","0.000553677811128091","0.0025417514715323","0.00534641885482615","0.00597453805301687","0.00731696833383171","0.00123295082379406","0.00227970922804497","0.000690704644098084","0.000777188469440766","0.000575328118838636","0.000855078823811278","0.000245552605657225","0.000143581524067354","0.00383097244031393","0.0047360384595567","0.0103222218953046","0.0132455960421386","0.00438030537599817","0.00450815240721518","0.000240801298921637","0.000574281475747939","0.000655999581488098","0.000525998465856784","0.000885917060980004","0.000215099885745821","0.00245220443340791","0.00321504483356037","0.00860928879891807","0.00895982684720713","0.00347141472650591","0.00600052743006128","0.000271381875304872","0.000252268327095729","0.000852891524135656","0.000665736997708308","0.000882305457040872","0.000345851069049328","0.0044252200326106","0.00351876361217009","0.0121832232026523","0.0103922285990534","0.00242693174993103","0.00117098285514643","7.79664143907494e-05","0.000136010434429981","0.000127705624101328","0.000490065378256388","0.000552931782262107","6.60520329311778e-05","0.0015417585380832","0.00263437603331565","0.00630987673796942","0.0101287745165273","0.00135625565876739","0.00201052482557241","0.00024217764305471","0.000524285069267138","0.000705366127268577","0.000941507365516189","0.00103778336042278","0.000136326803288771","0.00509027114458392","0.00723433387667495","0.015738860204364","0.00884111154922387","0.00215173794795995","0.00189941897793868","5.22720271156247e-05","0.000132418745114567"
"all_basins","0.801810545941898","0.533508453024042","0.440443081191791","0.346034738398127","0.321104045323641","5.55765739154568","8.1695169194354","11.5149494293529","9.50447249331216","3.1274407565496","1.67890821203902","0.59183872114391","0.983282252436658","0.558389513143044","0.33883591038281","0.335055956074416","0.394160209602824","5.20539972934351","7.67052824641307","12.1608449193378","8.71894030690332","3.06741600382683","1.66123590416902","0.345998319052042","0.886917292265859","0.971715496953426","0.543641402883192","0.328135597698757","0.329913557147208","4.27830568941322","6.79498816397581","8.07642747230241","6.98284856738342","2.73654503862038","1.47971234869751","0.378469048546765","0.851560986662155","0.724676762189312","0.75638633148556","0.62217910027926","0.771871441800472","4.84042194057271","9.02201617280984","12.4217339110774","8.33620758262432","2.45055515515874","1.10755374701499","0.116939018361452","0.428472785291832","0.421490357897475","0.307986900372804","0.249317161031322","0.430668576405392","3.21581685461693","5.0913306830955","6.4190255337422","5.48066709299073","2.24151188449997","1.24973588042957","0.53695822070913","0.802608443541864","0.60979264609596","0.386932714070808","0.374724819698024","0.405046538957979","5.33512458774007","7.1107508945783","12.2418437815667","11.0687161731558","3.75574516425016","1.60393932480715","0.496411019528688"
