"","precip[, 1]","Jan_mean","Feb_mean","Mar_mean","Apr_mean","May_mean","Jun_mean","Jul_mean","Aug_mean","Sep_mean","Oct_mean","Nov_mean","Dec_mean","Jan_stdev","Feb_stdev","Mar_stdev","Apr_stdev","May_stdev","Jun_stdev","Jul_stdev","Aug_stdev","Sep_stdev","Oct_stdev","Nov_stdev","Dec_stdev"
"1","Ganges",16.6809323300735,24.4089908418478,14.4673869758847,17.1574149142447,45.1217018626795,152.508215268001,288.264869575206,257.175445728168,160.201143613602,38.8348532706103,7.6994203363298,7.28754479354253,11.5085360679101,19.9578106415112,12.163628193201,10.4191525683387,20.4313478221624,55.1622867231682,46.4439769138654,38.335381433278,44.8314152890452,22.1889508534422,8.87996229345554,8.50421402355689
"2","Mekong",18.5571524211645,37.1566654523761,66.4371829560846,111.116378709689,167.61054284372,194.69382929945,184.630843401103,203.784847506027,210.762727768629,117.218711590187,53.8436801767107,18.7294412521845,10.5952082562637,16.2873353374596,23.464059020516,23.0569733831255,25.7752384217501,29.3915754109745,20.1911364818997,19.9721076926034,25.5810847031106,26.056767228674,25.510247994483,10.1213675958302
"3","Irawaddy",7.57016366125038,15.3777956167487,23.4996298157752,45.7206887376746,102.703299193965,172.034747568269,184.657095344283,164.889186520237,140.861366689339,90.5195831877989,30.3929562793668,7.89074813387696,4.63111947384607,8.69783575709588,14.2131719882824,17.7192590903442,35.0656909822053,26.0125585844266,26.6898163903404,23.1197809065313,21.5201656789586,25.9513404353486,16.6553898688266,4.4603813232757
"4","Luni_ext",1.21122698742144,1.92865144801739,1.13727581465611,1.32897313535222,1.64102200571303,7.57115725918344,27.0338287199847,26.6475491786956,14.3491450454814,2.52973327011093,0.873312029266339,0.46776288278591,1.42321730266235,2.36474486545327,1.42626944960952,2.02034152658843,1.7967567042006,6.35572329358128,13.396462610945,13.2835683163433,11.8050447935236,3.64619654413227,2.09060347548383,0.734068576420696
"5","Indus",18.3539438109586,39.6063027140858,44.2760861375981,37.6984062116548,32.1596476562374,53.9413273892775,116.685512194218,102.597287901855,54.0483074212647,16.3561919599216,10.4331562728508,13.1939064077822,9.89504096627617,20.903254749028,17.7119924456264,13.9190657145586,9.41340259503337,18.1115907939726,39.8108582441965,26.7975055724837,19.3707018794333,8.81115998213768,6.37626722548428,10.3559764120008
"6","Amu_Darya",15.3760120686607,26.8696975641385,32.5105581044198,35.6045922223634,29.5460184543659,18.639985072898,13.7147397829789,9.47677092043058,5.13913527234627,7.90976288494323,14.7493999192836,13.4250429670944,6.36057584812981,11.2810998382502,11.0643680765349,11.5804528526354,9.23612325500846,6.52087550984403,5.04398955219954,3.13916939899428,1.98309069599143,4.82393674422409,8.79413901775666,7.78868036187504
"7","Brahmaputra",9.27638784103689,22.9397787228895,46.2108691407511,106.207461535457,155.661207371663,231.36644852394,235.262526505005,188.179972532606,158.76646828146,67.165340098781,14.2248167597015,7.87432945460362,4.44212876405592,9.01746126815465,17.6613964965507,25.4798727271188,35.9006697236275,42.0747332215604,40.0038389625804,36.4226801581769,26.3606047042195,20.7382115503743,7.68659340787754,4.10167519760741
"8","Syr_Darya",4.67397500201056,8.95152483834019,17.3949547714252,27.7243680389986,32.4810610232977,30.8805530382691,25.3597089104309,18.2611286188989,12.7347199538052,14.1512963300753,13.3691226818116,6.35613046728532,2.26163152349441,5.08423012864296,5.0216953309261,7.76623358163593,6.11237097323281,6.66380035057327,9.99358115042787,6.38698044327428,4.92551290128715,6.33475055413464,6.71528720904504,3.84953263024828
"9","Salween",4.23190870822175,5.00463372675729,7.08798915306798,18.5097446492376,58.0617954666251,93.6460383443482,94.0673588236874,93.8567532296442,79.246639083536,42.0103799540213,17.3087115004927,6.15934019489538,3.63961336132737,3.42643264929713,4.24783228265978,7.58405701506059,16.6754469092115,12.7064577669655,10.4235441993497,12.6856335119615,11.8283961036387,8.83080353440093,7.82552917546511,3.85326737510572
"10","Tarim",0.352572940368374,1.87654006357873,6.20876560715184,13.9277830179208,23.403569796108,35.0433426092781,32.9341988010546,24.6992295797244,16.7093687662972,6.11868604453164,2.01904002896603,0.422256449407576,0.164856653843943,1.30247177012492,3.30378975875248,4.91404217917369,6.72414370604152,9.90346058013426,9.53770520633847,7.73015694028252,6.17643938805247,3.59578979175585,1.56151323282003,0.251438332851114
"11","Ili",0.130319871578198,0.857725966860082,8.55445556922081,22.6419572914148,29.6988170295271,33.7782826882739,31.059196428072,24.1261110210293,19.505305029691,15.75614343995,8.99287095909546,0.812151207971869,0.15745617560556,1.03579773480458,4.13371648627805,7.36676697086083,7.71664539783967,8.40933793753185,10.4359705633559,7.82569266283196,6.46844547093882,6.38299350356295,5.15082880277492,1.35632027737895
"12","Inner_Tibetan_Plateau",0.0369702825097863,0.0649917318096503,0.147275714737345,2.32940133986816,20.5903563570486,49.5597714610719,67.4207053447464,60.0441243506849,30.0937666414449,1.23707804030728,0.0197879321292135,0.0220536626506787,0.0117007335827947,0.0143124426895957,0.0517410725767633,1.26507651236058,6.36932653933619,11.7236164993558,12.7594048294333,12.5413832078289,8.8753456581868,0.947340168671145,0.0120457215502882,0.0128437798160084
"13","Yangtze",55.8079444510114,94.0170748071198,134.571463826753,218.599919385042,287.158876196322,375.094873518726,375.880247642676,333.263144992916,235.054218732119,144.440487486532,94.1298713079983,42.7986221461548,19.2878360331942,28.9821290473517,33.6950638341097,43.7372432076865,40.4094333267236,47.7099986636952,51.9906846985323,54.6174995265314,35.1108591089594,34.6627756734193,29.8965940808613,20.557285067975
"14","Inner_Tibetan_Plateau_extended",0.0133272492355452,0.112835598748694,1.85653544326333,3.94948716965081,11.592628712012,22.3264175529679,21.7670736285405,20.9442727161523,15.3474701858171,2.46174303400823,0.452629833305399,0.020349192729297,0.00508773139370737,0.123744248524368,1.67886815720146,2.27555926948403,4.02957474324102,7.86674334736947,6.78374310009642,7.83542790111736,9.72939311397121,1.4797993434637,0.494684611311797,0.0231359660081009
"15","Yellow",0.506154379426148,3.15350180559796,10.9996196213039,24.8137299976595,45.7224435342227,59.4713767093625,83.6234177385566,78.6411997971373,63.9311260122213,27.6304347052757,7.65153131020818,1.13112983870811,0.479136634765441,2.21040926485591,5.83585385266325,9.61213177783253,15.5364522602117,16.2132070485242,20.7179090461029,20.5699745724714,17.4160339017035,10.5641063307862,6.87463572719613,2.25580939473284
"16","all_basins",153.78414538292,290.12543344308,430.576220878464,684.949724213101,1064.06281164924,1564.64893175051,1755.27021839111,1630.87473196457,1240.37468000626,592.840803340685,283.128865823459,133.816833934753,36.2038439471335,70.0599552849537,67.9460956043732,74.9916444870068,110.919267196391,138.396510733273,124.09851734533,112.336969209324,105.978186088911,85.1068580469341,55.9160100166496,44.111174377802
