"","Basin","Jan_mean","Feb_mean","Mar_mean","Apr_mean","May_mean","Jun_mean","Jul_mean","Aug_mean","Sep_mean","Oct_mean","Nov_mean","Dec_mean","Jan_stdev","Feb_stdev","Mar_stdev","Apr_stdev","May_stdev","Jun_stdev","Jul_stdev","Aug_stdev","Sep_stdev","Oct_stdev","Nov_stdev","Dec_stdev"
"1","Ganges",0.0222683982753988,0.0968283413941021,0.984917818022058,2.72730017793743,7.57315983413903,9.94720515465568,3.94445999974103,1.24192400546216,0.365732072777889,0.072058147313403,0.0401367254653184,0.0274759878489229,0.00611257132118359,0.0994427775312153,0.626192441616392,1.0888477178209,3.40125377921862,3.4596274175687,1.59710583844758,0.41323300270715,0.110132474221645,0.0189052989163494,0.0105545559121924,0.00733878174970431
"2","Mekong",6.86042807184687e-05,0.019618458910089,0.249712573583918,1.16697180616397,6.5554445010576,3.7774246091115,0.0232704158629953,6.55213748482432e-06,0,0,0,0,0.000379480812021436,0.030492900683506,0.179326476308908,0.637205916614422,2.3298798396257,2.35371561712983,0.0888092863310499,3.98550963860518e-05,0,0,0,0
"3","Irawaddy",0,0.0245955984420373,0.252812695112732,0.552885874645322,1.00758631478895,0.753666635159066,0.194775692936264,0.0517655663257954,0.0141848756845489,8.52086840423094e-05,1.22288332493314e-07,0,0,0.04128911712981,0.16958668327845,0.200485952225755,0.324438479923086,0.277902483760267,0.134142119243895,0.0299262314302861,0.00689411298297769,0.000462940898721933,4.40614173963057e-07,0
"4","Luni_ext",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Indus",0.00151720782053741,0.542153997894147,5.71518844985074,12.2093884122637,22.2762779162322,46.6781710236007,31.7566219082952,9.81910450059743,1.13730231045772,0.033789422446644,0.00940772988508266,0.00274172707967197,0.00260733631923097,1.00355022667713,3.23794178136215,4.4145714970032,8.3361675786775,12.2665217332577,10.548034002753,5.00012783479688,0.910645938510886,0.0156280006170354,0.00485262743229163,0.00221927833806542
"6","Amu_Darya",0.202929822549876,1.30232819282691,8.85405631685743,18.8879733481932,14.8234956574286,16.630810459465,13.4548788370641,5.03535060382713,0.372105616903807,0.0297721090788602,0.00262971749955218,0,0.64505218922722,2.58624239027063,5.90074389476956,9.07119779862598,4.63978877445673,4.71577156100339,4.09681527723992,2.58615314269492,0.351758842883967,0.00945255122557008,0.00365352606548629,0
"7","Brahmaputra",0.0134748571249215,0.201747905147791,1.9642281764241,6.8814291757376,30.2421703874554,26.0498174678529,6.33295882041533,2.08501901512455,0.750170673152217,0.0385480274430463,0.0151830653035802,0.0125197325195121,0.0159668379894227,0.299805093261815,1.43737614012152,2.66701734418141,8.52716967817394,7.69886848502888,2.52113768248078,0.767399400570886,0.28691271896752,0.0268751172817724,0.0037196593820005,0.00280866908895595
"8","Syr_Darya",0.230626155923866,1.40359180128498,12.2678026248951,24.447945012783,8.02447330045083,6.16204507503685,2.85048538281331,1.2401906729517,0.0819964705480779,0.0245638787473075,0.0115796823076904,0.00393580327403703,0.794507240972197,2.1723037799792,6.76199734626996,11.7789828790525,3.25270815105791,2.40841692090329,1.23689604536152,0.638912905869159,0.036989365083058,0.0113328886387921,0.00779373428365221,0.00393969395143229
"9","Salween",0.000147003264267861,0.0207699987967731,0.280459290148158,1.48575215827833,11.2890922872056,7.88617240513105,0.192808514997915,0.000913627581468627,0,0,0,0,0.00061382051193758,0.0317555844777649,0.190949497637564,0.915742134838996,4.1847874903295,4.75301838364909,0.230209816121948,0.002984337057204,0,0,0,0
"10","Tarim",0.00188485968992226,0.465709003275396,3.99064705945028,5.03823604391826,7.69696573624622,13.8877436607378,18.5580647411009,5.83216146198848,0.5199144840856,0.0751029599795985,0.0202632136813879,0.0052544925789143,0.00182130439525884,0.642879975420944,1.98509585915665,2.04164791039965,2.78605615035369,5.07261074911841,6.47158921321508,3.02281727978988,0.216925544713564,0.0217539380749913,0.00742846294885795,0.00277232946614331
"11","Ili",0.00224945479446322,0.23906132155754,11.4533936622683,31.8209132314306,6.72709397810541,5.46559402860554,2.21081026208134,0.921171223012693,0.0191114117262033,0.00240229126708945,0.000241085282379413,0,0.00955819897471074,0.464180239822483,8.06009780730235,13.0850529456765,3.10691906466052,2.14622355180713,1.03191313912062,0.41496170113981,0.0108686567053592,0.00241298220249534,0.000526995111443622,0
"12","Inner_Tibetan_Plateau",0,0,0.0137902657298386,0.461513893287904,13.6794357570721,30.3637773245818,13.4005367448015,0.494076946764328,0.000873667648633373,0,0,0,0,0,0.0258205543700029,0.40627078937819,6.27064959825055,10.7441882159209,11.0651776932114,1.59173895688701,0.00233621041483069,0,0,0
"13","Yangtze",0.0162763541283583,1.33276627718942,5.26754982185118,11.5473064705657,28.7211270159451,21.7388682970313,2.62779936940078,1.00212047086683,0.179601861464942,0.0047355948790296,0.000530356309500778,0.000126437062627284,0.0674666110119696,1.81039075462168,2.57844009634984,4.10414292278929,8.85160726214254,8.41238798162505,1.20099721480718,0.274292328202077,0.100310808855661,0.00309297981622423,0.000660805184001584,0.000171818426968576
"14","Inner_Tibetan_Plateau_extended",1.06670266767331e-06,0.0356474666958328,1.29464262964842,2.42988328982829,4.81022004492148,9.73618871199821,2.99824683103265,0.396964075480173,0.00109155810843581,0,0,0,6.48849901789239e-06,0.0568411623339513,0.831792586668395,1.11797927460306,1.81084057890895,3.8681700395315,2.27151526984121,0.580537382146876,0.00251228296355699,0,0,0
"15","Yellow",0.00701404336467906,0.571418806211503,5.58823364134921,7.75965134380268,10.243740772405,6.23144948988085,0.446964804685025,0.0191442378684625,0,0,0,0,0.0425729632704338,0.693659324495965,3.17573712752354,2.9076433462971,4.30519991475256,3.653682218013,0.391199928956326,0.0312601019972172,0,0,0,0
"16","all_basins",0.537909266977853,6.63802335365499,62.9385020235868,131.007834228535,178.456780320398,210.002052976193,96.8859882526839,29.2496294263844,3.52066778699743,0.27302914824247,0.1029624498045,0.0532806043891689,1.46188852161088,7.22888163396755,26.7300862498295,40.7550488592818,40.1253956438133,46.5080851722504,32.0430721731164,12.4329494579326,1.700113201072,0.0606169442802159,0.0214387506189003,0.0118647613158783
